municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Ribeirão das Neves;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Ribeirão das Neves;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Ribeirão das Neves;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Ribeirão Vermelho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Ribeirão Vermelho;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Acima;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Casca;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio do Prado;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio do Prado;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rio Doce;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Doce;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Espera;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Espera;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Espera;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Manso;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Manso;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Novo;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Novo;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Paranaíba;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Paranaíba;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Rio Paranaíba;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rio Paranaíba;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Pardo de Minas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Pardo de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Pardo de Minas;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rio Pardo de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Piracicaba;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Rio Piracicaba;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Pomba;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Pomba;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rio Preto;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Preto;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Rio Preto;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rio Vermelho;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rio Vermelho;;Modo de Fazer o Queijo Artesanal da Região do Serro;Não informado;ESTADUAL;RI *5;
Rio Vermelho;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Rio Vermelho;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rio Vermelho;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Ritápolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Ritápolis;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Ritápolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rochedo de Minas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rochedo de Minas;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Romaria;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Romaria;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Romaria;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Romaria;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rosário da Limeira;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rosário da Limeira;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Rubelita;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rubim;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Rubim;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Rubim;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Rubim;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Sabará;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Sabará;;Linguagem dos sinos;Não informado;FEDERAL;RI *3;
Sabará;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Sabará;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Sabinópolis;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Sabinópolis;;Modo de Fazer o Queijo Artesanal da Região do Serro;Não informado;ESTADUAL;RI *5;
Sabinópolis;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Sabinópolis;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Sabinópolis;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
Sabinópolis;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Sacramento;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Sacramento;;Modos de fazer o Queijo Minas Artesanal;Não informado;FEDERAL;RI *4;
Sacramento;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Sacramento;;Violas de Minas;Não informado;ESTADUAL;RI *9;
Salinas;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Salinas;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
Salto da Divisa;;Folias de Minas;Não informado;ESTADUAL;RI *8;
Salto da Divisa;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
