municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
São José do Divino;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São José do Divino;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São José do Goiabal;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São José do Mantimento;;Sistemas Culinários da Cozinha Mineira;Não informado;ESTADUAL;RI *14;
São José do Mantimento;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Lourenço;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Lourenço;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
São Lourenço;;Violas de Minas;Não informado;ESTADUAL;RI *9;
São Miguel do Anta;;Folias de Minas;Não informado;ESTADUAL;RI *8;
São Miguel do Anta;;Matrizes Tradicionais do Forró;Não informado;FEDERAL;RI *12;
São Miguel do Anta;;Roda de Capoeira e/ou Ofício de Mestre da Capoeira;Não informado;FEDERAL;RI *7;
